identifier,tm_arrival,tm_service1,tm_service2,tm_arrival_queue1,tm_start_service1,tm_end_service1,tm_arrival_queue2,tm_start_service2,tm_end_service2
14182, 70610.773495, 1.495878, 0.032965, 70610.773495, 70610.773495, 70612.269374, 70612.269374, 70612.269374, 70612.302339
14183, 70613.044789, 0.881731, 1.521760, 70613.044789, 70613.044789, 70613.926521, 70613.926521, 70613.926521, 70615.448280
14184, 70616.107456, 0.471990, 0.566940, 70616.107456, 70616.107456, 70616.579445, 70616.579445, 70616.579445, 70617.146386
14185, 70623.086381, 0.448829, 0.379287, 70623.086381, 70623.086381, 70623.535210, 70623.535210, 70623.535210, 70623.914497
14186, 70630.954333, 0.675586, 0.181643, 70630.954333, 70630.954333, 70631.629918, 70631.629918, 70631.629918, 70631.811561
14187, 70632.280891, 0.581047, 2.844302, 70632.280891, 70632.280891, 70632.861938, 70632.861938, 70632.861938, 70635.706240
14188, 70645.563003, 0.027785, 0.180016, 70645.563003, 70645.563003, 70645.590787, 70645.590787, 70645.590787, 70645.770804
14189, 70655.665966, 1.503738, 0.141629, 70655.665966, 70655.665966, 70657.169704, 70657.169704, 70662.918774, 70664.172542
14190, 70655.757831, 0.316467, 0.606674, 70655.757831, 70657.169704, 70657.486171, 70657.486171, 70664.172542, 70664.779216
14191, 70656.445919, 2.867555, 0.202730, 70656.445919, 70657.486171, 70660.353726, 70660.353726, 70664.779216, 70664.981946
14192, 70659.872777, 2.565049, 1.267710, 70659.872777, 70660.353726, 70662.918774, 70662.918774, 70664.981946, 70666.249656
14193, 70662.962563, 1.112138, 1.285698, 70662.962563, 70662.962563, 70664.074701, 70664.074701, 70666.249656, 70667.535354
14194, 70669.124268, 0.031745, 0.104139, 70669.124268, 70669.124268, 70669.156013, 70669.156013, 70669.156013, 70669.260152
14195, 70669.594236, 0.407730, 0.076846, 70669.594236, 70669.594236, 70670.001966, 70670.001966, 70670.001966, 70670.078812
14196, 70674.770386, 4.389230, 0.868482, 70674.770386, 70674.770386, 70679.159615, 70679.159615, 70679.159615, 70680.696247
14197, 70679.560768, 0.668150, 1.539500, 70679.560768, 70679.560768, 70680.228918, 70680.228918, 70680.696247, 70687.650975
14198, 70680.891151, 3.770489, 3.103986, 70680.891151, 70680.891151, 70684.661640, 70684.661640, 70687.650975, 70690.754961
14199, 70684.799885, 1.575350, 0.473488, 70684.799885, 70684.799885, 70686.375235, 70686.375235, 70690.754961, 70693.983934
14200, 70686.056360, 0.068235, 0.103559, 70686.056360, 70686.375235, 70686.443470, 70686.443470, 70693.983934, 70694.087493
14201, 70686.850888, 0.001153, 0.001905, 70686.850888, 70686.850888, 70686.852041, 70686.852041, 70694.087493, 70694.089398
14202, 70691.107324, 2.755485, 2.617528, 70691.107324, 70691.107324, 70693.862809, 70693.862809, 70694.089398, 70696.706926
14203, 70710.072811, 1.101277, 1.297100, 70710.072811, 70710.072811, 70711.174089, 70711.174089, 70711.174089, 70713.191108
14204, 70711.424861, 0.719919, 0.271602, 70711.424861, 70711.424861, 70712.144780, 70712.144780, 70713.191108, 70713.462710
14205, 70713.619992, 2.457895, 0.325303, 70713.619992, 70713.619992, 70716.077887, 70716.077887, 70720.494226, 70720.819529
14206, 70715.102417, 1.345810, 0.281615, 70715.102417, 70716.077887, 70717.423698, 70717.423698, 70720.819529, 70721.101144
14207, 70716.651782, 2.041363, 1.053370, 70716.651782, 70717.423698, 70719.465061, 70719.465061, 70721.101144, 70722.154514
14208, 70719.240967, 1.029166, 0.102439, 70719.240967, 70719.465061, 70720.494226, 70720.494226, 70722.154514, 70722.256953
14209, 70725.291852, 0.543812, 0.744248, 70725.291852, 70725.291852, 70725.835664, 70725.835664, 70726.183855, 70726.928103
14210, 70725.489740, 0.348191, 2.128418, 70725.489740, 70725.835664, 70726.183855, 70726.183855, 70726.928103, 70729.056522
14211, 70741.236977, 1.818124, 0.680470, 70741.236977, 70741.236977, 70743.055101, 70743.055101, 70743.470664, 70744.151133
14212, 70741.473902, 0.415563, 1.617179, 70741.473902, 70743.055101, 70743.470664, 70743.470664, 70744.151133, 70745.768312
14213, 70752.127710, 0.219265, 0.074202, 70752.127710, 70752.127710, 70752.346976, 70752.346976, 70752.346976, 70752.421178
