round,Nq1,Nq2,N1,N2,W1,W2,X1,X2,T1,T2
3161, 0.000000, 0.079496, 0.069606, 0.109623, 0.000000, 0.269727, 1.898398, 0.551935, 1.898398, 0.821662
3162, 0.000000, 0.000000, 0.055045, 0.037117, 0.000000, 0.000000, 0.655873, 0.442262, 0.655873, 0.442262
3163, 0.000000, 0.000000, 0.065219, 0.037693, 0.000000, -0.000000, 0.717463, 0.414657, 0.717463, 0.414657
3164, 0.000000, 0.000000, 0.003114, 0.015555, 0.000000, -0.000000, 0.136985, 0.684305, 0.136985, 0.684305
3165, 0.000000, 0.000000, 0.039210, 0.013724, 0.000000, -0.000000, 0.517311, 0.181062, 0.517311, 0.181062
3166, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
3167, 0.128678, 0.443641, 0.257428, 1.091446, 0.540434, 1.862946, 0.000306, 0.857775, 0.540740, 2.720722
3168, 0.000000, 0.000000, 0.268791, 0.116000, 0.000000, 0.000000, 1.858222, 0.801937, 1.858222, 0.801937
3169, 0.000000, 0.000000, 0.009414, 0.109738, 0.000000, -0.000000, 0.155710, 1.815095, 0.155710, 1.815095
3170, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
3171, 0.136483, 0.513916, 0.440734, 0.917096, 0.504961, 1.280681, 0.620705, 0.211000, 1.125666, 1.491681
3172, 0.000000, 0.000000, 0.036520, 0.048389, 0.000000, 0.000000, 0.545336, 0.722569, 0.545336, 0.722569
3173, 0.000000, 0.000000, 0.322113, 0.051773, 0.000000, -0.000000, 3.166878, 0.509011, 3.166878, 0.509011
3174, 0.000000, 0.000000, 0.062080, 0.030192, 0.000000, 0.000000, 0.610834, 0.297071, 0.610834, 0.297071
3175, 0.000000, 0.000000, 0.557736, 0.442264, 0.000000, 0.000000, 1.418212, 0.000000, 1.418212, 0.000000
3176, 0.000000, 0.059330, 0.028830, 0.090688, 0.000000, 0.984146, 0.930277, 0.027715, 0.930277, 1.011860
3177, 0.000000, 0.000000, 0.095572, 0.101002, 0.000000, 0.000000, 1.721478, 1.819270, 1.721478, 1.819270
3178, 0.000000, 0.000000, 0.014480, 0.014168, 0.000000, -0.000000, 0.678694, 0.664066, 0.678694, 0.664066
3179, 0.000000, 0.000000, 0.025874, 0.038321, 0.000000, -0.000000, 0.381082, 0.564406, 0.381082, 0.564406
3180, 0.000000, 0.000000, 0.375034, 0.063144, 0.000000, -0.000000, 0.781395, 0.131561, 0.781395, 0.131561
3181, 0.000000, 0.000000, 0.042129, 0.009882, 0.000000, -0.000000, 0.792262, 0.185832, 0.792262, 0.185832
3182, 0.000000, 0.000000, 0.270821, 0.026899, 0.000000, -0.000000, 2.106596, 0.209239, 2.106596, 0.209239
3183, 0.000000, 0.000000, 0.001290, 0.004697, 0.000000, 0.000000, 0.087133, 0.317263, 0.087133, 0.317263
3184, 0.000000, 0.000000, 0.059013, 0.126286, 0.000000, 0.000000, 0.519242, 1.111158, 0.519242, 1.111158
3185, 0.000000, 0.000000, 0.086339, 0.009936, 0.000000, -0.000000, 1.818113, 0.209232, 1.818113, 0.209232
