round,Nq1,Nq2,N1,N2,W1,W2,X1,X2,T1,T2,VarW1,VarW2
17051, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
17052, 1.000, 0.000, 2.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
17053, 0.391, 0.853, 0.622, 1.555, 1.067, 3.306, 0.086, 0.203, 1.152, 3.510, -nan, inf
17054, 0.000, 0.000, 0.012, 0.027, 0.000, 0.000, 0.084, 0.181, 0.084, 0.181, -nan, -nan
17055, 0.000, 0.000, 0.007, 0.120, 0.000, -0.000, 0.012, 0.204, 0.012, 0.204, -nan, -nan
17056, 0.000, 0.000, 0.451, 0.232, 0.000, 0.000, 1.288, 0.663, 1.288, 0.663, -nan, -nan
17057, 0.000, 0.000, 0.029, 0.117, 0.000, 0.000, 0.084, 0.338, 0.084, 0.338, -nan, -nan
17058, 0.000, 0.000, 0.139, 0.056, 0.000, 0.000, 0.598, 0.240, 0.598, 0.240, -nan, -nan
17059, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
17060, 0.368, 0.632, 1.368, 0.632, 0.808, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
17061, 0.050, 0.999, 0.454, 1.282, 0.341, 1.447, 2.400, 0.479, 2.741, 1.926, -nan, inf
17062, 0.000, 0.000, 0.088, 0.010, 0.000, -0.000, 0.094, 0.011, 0.094, 0.011, -nan, -nan
17063, 0.000, 0.000, 0.044, 0.069, 0.000, 0.000, 0.211, 0.329, 0.211, 0.329, -nan, -nan
17064, 0.000, 0.000, 0.270, 0.730, 0.000, 0.000, 0.890, 0.000, 0.890, 0.000, -nan, 0.000
17065, 0.000, 0.900, 0.163, 1.737, 0.000, 0.000, 0.262, 0.000, 0.262, 0.000, -nan, 0.000
17066, 0.000, 0.967, 0.865, 1.101, 0.000, 0.000, 3.824, 0.000, 3.824, 0.000, -nan, 0.000
17067, 0.000, 0.461, 0.342, 0.640, 0.000, 0.398, 1.145, 0.201, 1.145, 0.598, -nan, inf
17068, 0.000, 0.000, 0.262, 0.168, 0.000, 0.000, 1.308, 0.837, 1.308, 0.837, -nan, -nan
17069, 0.000, 0.000, 0.123, 0.050, 0.000, 0.000, 0.366, 0.149, 0.366, 0.149, -nan, -nan
17070, 0.000, 0.000, 0.318, 0.003, 0.000, -0.000, 2.716, 0.026, 2.716, 0.026, -nan, -nan
17071, 0.000, 0.000, 0.048, 0.139, 0.000, -0.000, 0.122, 0.353, 0.122, 0.353, -nan, -nan
17072, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
17073, 0.059, 0.274, 0.222, 0.721, 0.612, 1.772, 1.092, 2.891, 1.704, 4.662, -nan, inf
17074, 0.000, 0.000, 0.046, 0.336, 0.000, -0.000, 0.163, 1.191, 0.163, 1.191, -nan, -nan
17075, 0.000, 0.000, 0.277, 0.723, 0.000, 0.000, 0.268, 0.000, 0.268, 0.000, -nan, 0.000
17076, 0.000, 0.104, 0.007, 0.259, 0.000, 0.409, 0.031, 0.247, 0.031, 0.656, -nan, inf
17077, 0.000, 0.000, 0.186, 0.086, 0.000, -0.000, 0.199, 0.092, 0.199, 0.092, -nan, -nan
17078, 0.000, 0.000, 0.023, 0.002, 0.000, 0.000, 0.070, 0.007, 0.070, 0.007, -nan, -nan
17079, 0.000, 0.000, 0.211, 0.093, 0.000, -0.000, 1.312, 0.579, 1.312, 0.579, -nan, -nan
17080, 0.000, 0.000, 0.144, 0.072, 0.000, -0.000, 0.666, 0.333, 0.666, 0.333, -nan, -nan
17081, 0.000, 0.000, 0.093, 0.043, 0.000, -0.000, 0.665, 0.310, 0.665, 0.310, -nan, -nan
17082, 0.000, 0.000, 0.865, 0.135, 0.000, 0.000, 1.609, 0.000, 1.609, 0.000, -nan, 0.000
17083, 0.000, 0.046, 0.001, 0.092, 0.000, 1.422, 0.046, 0.004, 0.046, 1.425, -nan, inf
17084, 0.000, 0.000, 0.718, 0.282, 0.000, 0.000, 0.301, 0.000, 0.301, 0.000, -nan, 0.000
17085, 0.000, 0.784, 0.476, 1.308, 0.000, 0.000, 1.924, 0.000, 1.924, 0.000, -nan, 0.000
17086, 0.000, 1.000, 0.201, 1.799, 0.000, 0.000, 0.269, 0.000, 0.269, 0.000, -nan, 0.000
17087, 0.000, 2.000, 1.000, 2.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
17088, 0.346, 1.660, 0.836, 2.170, 1.853, 0.000, 0.773, 0.000, 2.625, 0.000, -nan, 0.000
17089, 0.000, 0.255, 0.093, 0.439, 0.000, 2.944, 1.698, 0.413, 1.698, 3.357, -nan, inf
17090, 0.000, 0.000, 0.006, 0.220, 0.000, 0.000, 0.060, 2.389, 0.060, 2.389, -nan, -nan
17091, 0.000, 0.000, 0.176, 0.137, 0.000, -0.000, 0.286, 0.223, 0.286, 0.223, -nan, -nan
17092, 0.000, 0.000, 0.423, 0.528, 0.000, -0.000, 1.189, 1.486, 1.189, 1.486, -nan, -nan
17093, 0.000, 0.000, 0.050, 0.064, 0.000, 0.000, 0.353, 0.453, 0.353, 0.453, -nan, -nan
17094, 0.000, 0.000, 0.388, 0.020, 0.000, 0.000, 5.197, 0.268, 5.197, 0.268, -nan, -nan
17095, 0.000, 0.000, 0.028, 0.241, 0.000, 0.000, 0.263, 2.288, 0.263, 2.288, -nan, -nan
17096, 0.000, 0.000, 0.133, 0.180, 0.000, -0.000, 1.085, 1.468, 1.085, 1.468, -nan, -nan
17097, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
17098, 1.000, 0.000, 2.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
17099, 0.215, 0.162, 0.345, 0.770, 0.490, 0.331, 0.010, 2.002, 0.500, 2.334, -nan, inf
17100, 0.000, 0.000, 0.349, 0.385, 0.000, 0.000, 0.911, 1.006, 0.911, 1.006, -nan, -nan
17101, 0.000, 0.000, 0.159, 0.296, 0.000, -0.000, 1.111, 2.067, 1.111, 2.067, -nan, -nan
17102, 0.000, 0.000, 0.650, 0.085, 0.000, -0.000, 1.869, 0.243, 1.869, 0.243, -nan, -nan
17103, 0.000, 0.000, 0.141, 0.416, 0.000, -0.000, 0.354, 1.047, 0.354, 1.047, -nan, -nan
17104, 0.000, 0.000, 0.142, 0.858, 0.000, 0.000, 0.354, 0.000, 0.354, 0.000, -nan, 0.000
17105, 0.000, 0.922, 0.540, 1.381, 0.000, 0.000, 1.422, 0.000, 1.422, 0.000, -nan, 0.000
17106, 0.000, 0.022, 0.012, 0.107, 0.000, 0.037, 0.049, 0.299, 0.049, 0.336, -nan, inf
17107, 0.000, 0.000, 0.394, 0.058, 0.000, -0.000, 1.428, 0.211, 1.428, 0.211, -nan, -nan
17108, 0.000, 0.000, 0.018, 0.087, 0.000, -0.000, 0.182, 0.893, 0.182, 0.893, -nan, -nan
17109, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
17110, 0.161, 0.752, 0.646, 1.218, 0.590, 1.572, 1.192, 0.140, 1.782, 1.711, -nan, inf
17111, 0.000, 0.000, 0.008, 0.863, 0.000, 0.000, 0.022, 2.323, 0.022, 2.323, -nan, -nan
17112, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
17113, 0.102, 0.898, 0.906, 1.094, 0.286, 0.000, 1.974, 0.000, 2.260, 0.000, -nan, 0.000
17114, 0.000, 1.175, 0.113, 2.062, 0.000, 0.000, 0.193, 0.000, 0.193, 0.000, -nan, 0.000
17115, 0.000, 2.000, 1.000, 2.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
17116, 0.054, 0.369, 0.111, 0.574, 0.633, 1.525, 0.037, 0.883, 0.670, 2.408, -nan, inf
17117, 0.000, 0.000, 0.005, 0.267, 0.000, -0.000, 0.025, 1.343, 0.025, 1.343, -nan, -nan
17118, 0.000, 0.000, 0.149, 0.590, 0.000, 0.000, 0.120, 0.472, 0.120, 0.472, -nan, -nan
17119, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
17120, 0.733, 0.267, 1.515, 0.485, 1.356, 0.000, 0.091, 0.000, 1.447, 0.000, -nan, 0.000
17121, 0.000, 0.921, 0.089, 1.663, 0.000, 2.008, 0.408, 1.386, 0.408, 3.394, -nan, inf
17122, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
17123, 0.002, 0.074, 0.008, 0.316, 0.009, 0.373, 0.023, 0.913, 0.033, 1.286, -nan, inf
17124, 0.000, 0.000, 0.376, 0.055, 0.000, 0.000, 1.266, 0.187, 1.266, 0.187, -nan, -nan
17125, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
17126, 0.080, 0.039, 0.166, 0.115, 0.588, 0.235, 0.049, 0.324, 0.636, 0.560, -nan, inf
17127, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
17128, 0.041, 0.314, 0.202, 0.702, 0.153, 0.728, 0.447, 0.722, 0.600, 1.450, -nan, inf
17129, 0.000, 0.000, 0.163, 0.604, 0.000, -0.000, 0.192, 0.713, 0.192, 0.713, -nan, -nan
17130, 0.000, 0.000, 0.837, 0.163, 0.000, 0.000, 0.034, 0.000, 0.034, 0.000, -nan, 0.000
17131, 0.000, 0.522, 0.143, 1.151, 0.000, 1.101, 0.417, 0.726, 0.417, 1.827, -nan, inf
17132, 0.000, 0.000, 0.535, 0.043, 0.000, -0.000, 2.895, 0.235, 2.895, 0.235, -nan, -nan
17133, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
17134, 0.198, 0.608, 0.786, 0.927, 1.009, 1.109, 1.997, 0.522, 3.006, 1.631, -nan, inf
17135, 0.000, 0.000, 0.013, 0.066, 0.000, -0.000, 0.187, 0.963, 0.187, 0.963, -nan, -nan
17136, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
17137, 0.205, 0.719, 0.436, 1.489, 0.550, 0.000, 0.069, 0.000, 0.620, 0.000, -nan, 0.000
17138, 0.000, 0.728, 0.077, 1.651, 0.000, 0.000, 0.179, 0.000, 0.179, 0.000, -nan, 0.000
17139, 0.000, 1.000, 0.707, 1.293, 0.000, 0.000, 1.574, 0.000, 1.574, 0.000, -nan, 0.000
17140, 0.000, 0.476, 0.333, 0.717, 0.000, 0.260, 0.607, 0.179, 0.607, 0.439, -nan, inf
17141, 0.000, 0.000, 0.101, 0.130, 0.000, 0.000, 0.719, 0.918, 0.719, 0.918, -nan, -nan
17142, 0.000, 0.000, 0.160, 0.166, 0.000, -0.000, 0.698, 0.727, 0.698, 0.727, -nan, -nan
17143, 0.000, 0.000, 0.030, 0.104, 0.000, 0.000, 0.296, 1.035, 0.296, 1.035, -nan, -nan
17144, 0.000, 0.000, 0.067, 0.005, 0.000, -0.000, 0.273, 0.021, 0.273, 0.021, -nan, -nan
